Symbol,Name,LastSale,MarketCap,ADR TSO,Country,IPOyear,Sector,Industry,Summary Quote
PSDV,pSivida Corp.,1.25,49215732.5,n/a,United States,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/psdv
PMD,Psychemedics Corporation,18.26,100275757.8,n/a,United States,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/pmd
PTC,PTC Inc.,56.94,6582693100,n/a,United States,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ptc
PULM,"Pulmatrix, Inc.",2.01,40450066.11,n/a,United States,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/pulm
RARX,"Ra Pharmaceuticals, Inc.",14.5,327839867,n/a,United States,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/rarx
RDUS,"Radius Health, Inc.",35.19,1530914558,n/a,United States,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/rdus
RNDB,"Randolph Bancorp, Inc.",14.36,84272291.84,n/a,United States,2016,Finance,Major Banks,http://www.nasdaq.com/symbol/rndb
RPD,"Rapid7, Inc.",17.11,745145650.1,n/a,United States,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/rpd
RGEN,Repligen Corporation,43.78,1884731539,n/a,United States,1986,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/rgen
RXII,RXi Pharmaceuticals Corporation,0.501,11872366.34,n/a,United States,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/rxii
RXIIW,RXi Pharmaceuticals Corporation,0.175,0,n/a,United States,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/rxiiw
SAFT,"Safety Insurance Group, Inc.",72.85,1108775106,n/a,United States,2002,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/saft
SAGE,"Sage Therapeutics, Inc.",62.9,2355044184,n/a,United States,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/sage
SRPT,"Sarepta Therapeutics, Inc.",45.175,2906212059,n/a,United States,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/srpt
SEAC,"SeaChange International, Inc.",2.72,96522961.76,n/a,United States,1996,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/seac
SIR,Select Income REIT,23.31,2084908102,n/a,United States,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/sir
SELB,"Selecta Biosciences, Inc.",19.17,423165826.3,n/a,United States,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/selb
SNH,Senior Housing Properties Trust,19.41,4611019472,n/a,United States,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/snh
SNHNI,Senior Housing Properties Trust,25.14,0,n/a,United States,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/snhni
